,id,average_cadence,average_heartrate,average_speed,description,distance,elapsed_time,kudos_count,max_heartrate,name,start_date
0,5699797133,,,3.903,,4515.2,1162,1,,Course à pied du midi,2021-07-28 10:19:11+00:00
1,5711839217,,,3.919,,4378.0,1117,1,,Course à pied le soir,2021-07-30 16:51:52+00:00
2,5727390830,,,3.664,,4429.8,1212,0,,Départ tranquille retour rapide ,2021-08-02 16:50:41+00:00
3,5743649098,,,3.567,,10012.5,2818,2,,Footing + long ,2021-08-05 15:10:08+00:00
4,5767996027,,,3.762,,6334.8,1782,2,,Sortie avec Milka,2021-08-10 08:38:38+00:00
5,5792348096,,,4.019,,5575.0,1456,2,,Chez les parents ,2021-08-14 16:23:27+00:00
6,5876067085,79.4,151.3,3.991,,3652.1,926,1,164.0,Test Polar,2021-08-30 09:02:48+00:00
7,5950033354,79.2,166.7,3.806,,6333.2,1668,5,188.0,Course à pied le soir,2021-09-12 16:55:23+00:00
8,5973969290,80.0,173.5,3.844,,6303.6,1653,3,187.0,Course à pied le midi,2021-09-17 10:38:34+00:00
9,5986786398,82.5,164.4,3.72,,4017.6,1080,3,176.0,Entraînement Triathlon 2/2,2021-09-19 15:56:20+00:00
10,6015800584,81.9,177.8,3.538,,4706.1,1345,6,186.0,Triathlon Vendome ,2021-09-25 10:01:36+00:00
11,6043876697,79.4,146.7,3.827,,3991.3,1048,5,161.0,Course à pied le soir,2021-09-30 17:36:54+00:00
12,6085830498,81.2,160.1,3.874,,9999.0,3158,5,186.0,Course à pied le midi,2021-10-09 09:02:18+00:00
13,6127538989,80.6,132.0,4.067,,4229.9,1043,2,161.0,Course à pied l'après-midi,2021-10-17 15:27:58+00:00
14,6155436953,78.7,147.8,3.044,,8024.0,2761,7,171.0,Course à pied l'après-midi,2021-10-23 14:47:52+00:00
15,6161391428,78.2,147.1,2.979,,6426.4,2197,4,164.0,Course à pied le soir,2021-10-24 16:36:39+00:00
16,6187524699,80.7,160.8,3.424,,12212.9,3578,5,184.0,Course à pied l'après-midi,2021-10-30 13:10:16+00:00
17,6223360848,81.1,137.9,3.563,,6306.8,1803,5,162.0,Course à pied matinale,2021-11-07 09:57:22+00:00
18,6253068927,78.3,150.8,3.085,,10209.7,3611,7,174.0,Course à pied l'après-midi,2021-11-13 16:46:50+00:00
19,6257915082,80.0,143.0,3.166,,5195.1,1716,3,171.0,Course à pied l'après-midi,2021-11-14 16:19:22+00:00
20,6342405490,79.4,148.2,2.975,,7309.9,2573,4,168.0,Course à pied l'après-midi,2021-12-04 14:12:12+00:00
21,6371109953,79.4,153.0,3.422,,3914.7,1161,2,161.0,Course à pied l'après-midi,2021-12-11 16:03:50+00:00
22,6421777183,80.3,155.6,3.453,,11195.9,3274,5,185.0,Course à pied le midi,2021-12-24 10:08:13+00:00
23,6455070081,81.2,138.6,3.052,,21185.5,7093,7,165.0,Entraînement semi,2022-01-01 09:41:36+00:00
24,6528447329,79.6,157.1,3.925,,5329.9,1375,8,183.0,Course à pied l'après-midi,2022-01-15 16:27:57+00:00
25,6553074743,81.5,154.6,3.592,,5154.3,1464,3,181.0,Course à pied le midi,2022-01-20 11:56:02+00:00
26,6570117403,82.2,126.9,3.502,,10246.8,2936,5,157.0,Course à pied l'après-midi,2022-01-23 15:14:44+00:00
27,6629612390,82.1,166.3,3.79,,6241.9,1756,5,187.0,Course à pied l'après-midi,2022-02-04 12:06:22+00:00
28,6669787959,81.2,148.2,3.574,,10287.3,2882,5,175.0,Course à pied matinale,2022-02-12 08:45:19+00:00
29,6675490977,82.5,157.9,3.474,,11516.4,3359,7,171.0,Course à pied matinale,2022-02-13 08:56:53+00:00
